rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,107954692,酸辣天使腌入味,舰长
4,114121,綾見ゆき,舰长
5,675359,出云的天线,舰长
6,306581,别说话-我在潜行,舰长
7,1500886,无所事事的阿叶,舰长
8,262446166,多雲Kumori,舰长
9,889732,Tier,舰长
10,1668762828,Amnelis,舰长
11,542204,羊葱冰沙,舰长
12,17049803,充满智慧的琪露諾,舰长
13,6666274,LadonQ,舰长
14,3493262004324891,山竹_June,舰长
15,13490,CZT_吃枕头,舰长
16,39749040,清音墨逸,舰长
17,283768,雷云飘飘,舰长
18,19695515,幽米TNT,舰长
19,6248055,摸理鲨,舰长
20,23335540,艾枚Yimei,舰长
21,3494355700549992,屑装备,舰长
22,3546695830866126,电子仓鼠病,舰长
23,2433441,叶宝是G老板的暖心宝,舰长
24,7707062,XYH_HoShiZoRa,舰长
25,491525936,悠然狗展哥的狗,舰长
26,456089615,闻曰人否,舰长
27,28599856,紫阁烟,舰长
28,23533524,小语xya,舰长
