rank,uid,username,type
1,71161734,焰语娜娜,总督
2,633392,银河子Ginga,舰长
3,3602163,灰燼天堂,舰长
4,1953291,kumakumaru,舰长
5,16675787,Redicult-紅,舰长
6,107954692,酸辣天使腌入味,舰长
7,114121,酔夢_Suimu,舰长
8,306581,别说话-我在潜行,舰长
9,675359,出云的天线,舰长
10,756078,化身海豹の雷尔,舰长
11,262446166,阿biu大烂人,舰长
12,6447109,阿尔卑斯生巧,舰长
13,889732,Tier,舰长
14,1668762828,Amnelis,舰长
15,3097852,Dive炼狱,舰长
16,11927262,麦片加果冻,舰长
17,455855554,啪叽还没完全寄,舰长
18,385680548,阿伊蕾特家的Polar_star,舰长
19,542204,羊葱冰沙,舰长
20,17049803,充满智慧的琪露諾,舰长
21,480992315,樱井飞鸟,舰长
22,2729248,予星以梦゜,舰长
23,1779885398,一只墨少少,舰长
24,41437520,摸鱼因为鱼就在那里,舰长
25,13921283,腻添虾头楠,舰长
26,2017552,滴滴波唧滴滴波波耶,舰长
27,6666274,LadonQ,舰长
28,234267434,多吃电脑配件,舰长
29,3493262004324891,山竹_June,舰长
30,1412940,Enyc,舰长
31,19978054,佚氏巧克力,舰长
32,81592056,咕白球,舰长
33,25976254,黑风剑的法师,舰长
34,673385972,勾勾说我好难受,舰长
35,509608998,青㸛,舰长
36,451589708,自此浮生是梦中,舰长
37,1704421,尤里的猫-卡里普索,舰长
38,648809981,茉离Official,舰长
39,279428150,地夔,舰长
40,46427646,中二疒丙,舰长
41,4366887,受受兽,舰长
42,433594761,火灵之魔术师,舰长
43,20073152,洪都拉斯那些幻想,舰长
44,33804922,伊斯卡恩Kahn,舰长
45,1996850,论存在感的重要性,舰长
46,70093,12dora,舰长
47,7681547,包包家的变态,舰长
48,30709598,邂逅寂静之海,舰长
49,12873278,E鸈,舰长
50,13964827,银翼的魔术师Ra,舰长
