rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,114121,酔夢_Suimu,舰长
7,306581,别说话-我在潜行,舰长
8,756078,化身海豹の雷尔,舰长
9,675359,出云的天线,舰长
10,262446166,阿biu大烂人,舰长
11,6447109,阿尔卑斯生巧,舰长
12,889732,Tier,舰长
13,1668762828,Amnelis,舰长
14,3097852,Dive炼狱,舰长
15,28219035,羽意_,舰长
16,38947070,咲间观音,舰长
17,385680548,阿伊蕾特家的Polar_star,舰长
18,11927262,麦片加果冻,舰长
19,542204,羊葱冰沙,舰长
20,17049803,充满智慧的琪露諾,舰长
21,480992315,樱井飞鸟,舰长
22,1779885398,一只墨少少,舰长
23,2729248,予星以梦゜,舰长
24,41437520,摸鱼因为鱼就在那里,舰长
25,13921283,终将寻得心中安宁,舰长
26,2017552,滴滴波唧滴滴波波耶,舰长
27,6666274,LadonQ,舰长
28,81592056,咕白球,舰长
29,25976254,黑风剑的法师,舰长
30,1686151,汪三w,舰长
31,1412940,沃心向阳,舰长
32,8195375,萌萌混过关,舰长
33,12386865,Zakhaevv,舰长
34,5180905,ErisCurse,舰长
35,3493262004324891,山竹_June,舰长
36,433594761,火灵之魔术师,舰长
37,63749898,牛某丶,舰长
38,251481034,Sora泉,舰长
39,7574417,早起的喵儿,舰长
40,19978054,佚氏巧克力,舰长
41,509608998,青㸛,舰长
42,20073152,洪都拉斯那些幻想,舰长
43,1996850,论存在感的重要性,舰长
44,813186,有一颗卤蛋,舰长
45,30709598,邂逅寂静之海,舰长
46,28944869,艾恺特AKT,舰长
47,1704421,尤里的猫-卡里普索,舰长
48,12873278,E鸈,舰长
49,673385972,勾勾说我好难受,舰长
50,17791824,もちにゃん,舰长
51,13964827,银翼的魔术师Ra,舰长
