rank,uid,username,type
1,633392,银河子Ginga,舰长
2,3602163,灰燼天堂,舰长
3,1953291,kumakumaru,舰长
4,16675787,Redicult-紅,舰长
5,107954692,酸辣天使腌入味,舰长
6,306581,别说话-我在潜行,舰长
7,756078,化身海豹の雷尔,舰长
8,675359,出云的天线,舰长
9,262446166,阿biu大烂人,舰长
10,6447109,阿尔卑斯生巧,舰长
11,889732,Tier,舰长
12,1668762828,Amnelis,舰长
13,3097852,Dive炼狱,舰长
14,28219035,羽意_,舰长
15,38947070,咲间观音,舰长
16,17049803,充满智慧的琪露諾,舰长
17,542204,羊葱冰沙,舰长
18,480992315,樱井飞鸟,舰长
19,2729248,予星以梦゜,舰长
20,13921283,终将寻得心中安宁,舰长
21,6666274,LadonQ,舰长
22,1686151,汪三w,舰长
23,8195375,萌萌混过关,舰长
24,5180905,ErisCurse,舰长
25,91417,孜然肿瘤,舰长
26,63749898,牛某丶,舰长
27,3493262004324891,山竹_June,舰长
28,1412940,沃心向阳,舰长
29,251481034,Sora泉,舰长
30,7574417,早起的喵儿,舰长
31,12386865,Zakhaevv,舰长
32,509608998,青㸛,舰长
33,813186,有一颗卤蛋,舰长
34,28944869,艾恺特AKT,舰长
35,1704421,尤里的猫-卡里普索,舰长
36,1420223,龙包包,舰长
37,673385972,勾勾说我好难受,舰长
38,17791824,もちにゃん,舰长
