rank,uid,username,type
1,71161734,焰语娜娜,舰长
2,1953291,kumakumaru,舰长
3,16675787,Redicult-紅,舰长
4,107954692,酸辣天使腌入味,舰长
5,114121,酔夢_Suimu,舰长
6,306581,别说话-我在潜行,舰长
7,675359,出云的天线,舰长
8,889732,Tier,舰长
9,1668762828,Amnelis,舰长
10,3097852,Dive炼狱,舰长
11,542204,羊葱冰沙,舰长
12,17049803,充满智慧的琪露諾,舰长
13,2729248,予星以梦゜,舰长
14,6666274,LadonQ,舰长
15,3493262004324891,山竹_June,舰长
16,59290187,酒家的九大爺,舰长
17,673385972,勾勾说我好难受,舰长
18,42501799,夏恩Kiro,舰长
19,259829889,枪蛋炒饭,舰长
20,931366,星之元素,舰长
21,396682190,落月破晚星,舰长
22,3494361824234146,心石Puzzles,舰长
23,1485786,千鹤凪_Nagi,舰长
